,Country,Name,URL
7327,US,Bryn Mawr College,http://www.brynmawr.edu/
7328,US,Bucknell University,http://www.bucknell.edu/
7329,US,Buena Vista University,http://www.bvu.edu/
7331,US,Butler University,http://www.butler.edu/
7332,US,Cabrini College,http://www.cabrini.edu/
7333,US,Caldwell College,http://www.caldwell.edu/
7334,US,California Baptist College,http://www.calbaptist.edu/
7339,US,California College San Diego,http://www.cc-sd.edu/
7340,US,California Institute of Integral Studies,http://www.ciis.edu/
7343,US,California Lutheran University,http://www.callutheran.edu/
7344,US,California Maritime Academy,http://www.csum.edu/
7345,US,California Polytechnic State University - San Luis Obispo,http://www.calpoly.edu/
7346,US,California School of Professional Psychology - Berkley/Alameda,http://www.cspp.edu/
